id;data_vencimento;descricao;valor;data_pagamento;valor_pago;observacoes;periodicidade
1;2023-02-04;content-based Genérico Congelado;7474;2023-02-04;27275;Mato National Customer;MENSAL
2;2023-02-04;Ergonômico 4th Filmes;67083;2023-02-04;92159;productivity Suíça;MENSAL
3;2023-02-04;Assurance Metal evolve;84501;2023-02-04;16278;Quality indexing programming;ANUAL
4;2023-02-04;Refinado Teclado;76012;2023-02-04;65559;Bedfordshire solid Sul;MENSAL
5;2023-02-04;Checking;80180;2023-02-04;28386;panel Macio zero;SEMANAL
6;2023-02-04;Grosso;33274;2023-02-04;65268;São needs-based;ANUAL
7;2023-02-04;do;18530;2023-02-04;232;Quiribati Avon cinza;ANUAL
8;2023-02-04;Pará;95951;2023-02-04;28844;Refinado;ESPORADICA
9;2023-02-04;Supervisor;16052;2023-02-04;5581;Roupas;MENSAL
10;2023-02-04;Security;46097;2023-02-04;12148;Concreto;MENSAL
