id;data_vencimento;descricao;valor;data_recebimento;valor_recebido;observacoes;periodicidade
1;2023-02-04;matrix data-warehouse;19662;2023-02-04;45446;value-added Lek indexing;SEMANAL
2;2023-02-04;Marginal;451;2023-02-04;39663;indexing compressing Camiseta;ANUAL
3;2023-02-04;Toalhas vortals SDD;29881;2023-02-04;46920;Algodão Quality;MENSAL
4;2023-02-04;Lev Pula;56302;2023-02-04;22515;Pará Dollar Human;ESPORADICA
5;2023-02-04;empower real-time service-desk;49110;2023-02-04;81671;recontextualize;SEMANAL
6;2023-02-04;Genérico markets;98388;2023-02-04;69523;Implementation;ANUAL
7;2023-02-04;payment;82400;2023-02-04;3906;Response Future;ANUAL
8;2023-02-04;multi-state Lustroso Auto;7001;2023-02-04;55455;optimize Paraíba;SEMANAL
9;2023-02-04;Sergipe cross-platform;36613;2023-02-04;28101;systems Cambridgeshire;MENSAL
10;2023-02-04;Research;59789;2023-02-04;26588;Pará;SEMANAL
